sentence_id,brief_id,structure,year,section,evidence_tier,confidence,sentence,cited_artifacts,cited_summaries,supported (yes|no),factual (yes|no),reviewer note
BRIEF-AL012757-2023-v1-s2,BRIEF-AL012757-2023-v1,AL012757,2023,contradictions,conflicting,0.9000,This comparison rolls up AASHTO element(s) 12 into the deck. [NBE-AL012757-2023-12-cs1] [NBE-AL012757-2023-12-cs2] [NBE-AL012757-2023-12-cs3] [NBE-AL012757-2023-12-cs4] [NBI-AL012757-2023-deck],NBE-AL012757-2023-12-cs1 NBE-AL012757-2023-12-cs2 NBE-AL012757-2023-12-cs3 NBE-AL012757-2023-12-cs4 NBI-AL012757-2023-deck,NBE-AL012757-2023-12-cs1: NBE 2023 element 12 condition state 1: 3177 units | NBE-AL012757-2023-12-cs2: NBE 2023 element 12 condition state 2: 0 units | NBE-AL012757-2023-12-cs3: NBE 2023 element 12 condition state 3: 4078 units | NBE-AL012757-2023-12-cs4: NBE 2023 element 12 condition state 4: 0 units | NBI-AL012757-2023-deck: NBI 2023 deck condition rating: 7,,,
BRIEF-AL012757-2023-v1-s1,BRIEF-AL012757-2023-v1,AL012757,2023,contradictions,conflicting,0.9000,"The 2023 NBI record rates the deck 7 (good), while the 2023 NBE element data reports 4,078 units of 7,255 units (56.2% of the mapped quantity) in condition states 3-4, which corresponds to a poor component. [NBE-AL012757-2023-12-cs3] [NBI-AL012757-2023-deck]",NBE-AL012757-2023-12-cs3 NBI-AL012757-2023-deck,NBE-AL012757-2023-12-cs3: NBE 2023 element 12 condition state 3: 4078 units | NBI-AL012757-2023-deck: NBI 2023 deck condition rating: 7,,,
BRIEF-AL012757-2023-v1-s0,BRIEF-AL012757-2023-v1,AL012757,2023,summary,,,"For structure AL012757 in 2023, the official records disagree about 3 component(s): deck, substructure, superstructure. [NBE-AL012757-2023-109-cs1] [NBE-AL012757-2023-109-cs2] [NBE-AL012757-2023-109-cs3] [NBE-AL012757-2023-109-cs4] [NBE-AL012757-2023-12-cs1] [NBE-AL012757-2023-12-cs2] [NBE-AL012757-2023-12-cs3] [NBE-AL012757-2023-12-cs4] [NBE-AL012757-2023-215-cs1] [NBE-AL012757-2023-215-cs2] [NBE-AL012757-2023-215-cs3] [NBE-AL012757-2023-215-cs4] [NBE-AL012757-2023-225-cs1] [NBE-AL012757-2023-225-cs2] [NBE-AL012757-2023-225-cs3] [NBE-AL012757-2023-225-cs4] [NBE-AL012757-2023-234-cs1] [NBE-AL012757-2023-234-cs2] [NBE-AL012757-2023-234-cs3] [NBE-AL012757-2023-234-cs4] [NBI-AL012757-2023-deck] [NBI-AL012757-2023-substructure] [NBI-AL012757-2023-superstructure]",NBE-AL012757-2023-109-cs1 NBE-AL012757-2023-109-cs2 NBE-AL012757-2023-109-cs3 NBE-AL012757-2023-109-cs4 NBE-AL012757-2023-12-cs1 NBE-AL012757-2023-12-cs2 NBE-AL012757-2023-12-cs3 NBE-AL012757-2023-12-cs4 NBE-AL012757-2023-215-cs1 NBE-AL012757-2023-215-cs2 NBE-AL012757-2023-215-cs3 NBE-AL012757-2023-215-cs4 NBE-AL012757-2023-225-cs1 NBE-AL012757-2023-225-cs2 NBE-AL012757-2023-225-cs3 NBE-AL012757-2023-225-cs4 NBE-AL012757-2023-234-cs1 NBE-AL012757-2023-234-cs2 NBE-AL012757-2023-234-cs3 NBE-AL012757-2023-234-cs4 NBI-AL012757-2023-deck NBI-AL012757-2023-substructure NBI-AL012757-2023-superstructure,NBE-AL012757-2023-109-cs1: NBE 2023 element 109 condition state 1: 1020 units | NBE-AL012757-2023-109-cs2: NBE 2023 element 109 condition state 2: 0 units | NBE-AL012757-2023-109-cs3: NBE 2023 element 109 condition state 3: 0 units | NBE-AL012757-2023-109-cs4: NBE 2023 element 109 condition state 4: 0 units | NBE-AL012757-2023-12-cs1: NBE 2023 element 12 condition state 1: 3177 units | NBE-AL012757-2023-12-cs2: NBE 2023 element 12 condition state 2: 0 units | NBE-AL012757-2023-12-cs3: NBE 2023 element 12 condition state 3: 4078 units | NBE-AL012757-2023-12-cs4: NBE 2023 element 12 condition state 4: 0 units | NBE-AL012757-2023-215-cs1: NBE 2023 element 215 condition state 1: 37 units | NBE-AL012757-2023-215-cs2: NBE 2023 element 215 condition state 2: 49 units | NBE-AL012757-2023-215-cs3: NBE 2023 element 215 condition state 3: 24 units | NBE-AL012757-2023-215-cs4: NBE 2023 element 215 condition state 4: 0 units | NBE-AL012757-2023-225-cs1: NBE 2023 element 225 condition state 1: 24 units | NBE-AL012757-2023-225-cs2: NBE 2023 element 225 condition state 2: 0 units | NBE-AL012757-2023-225-cs3: NBE 2023 element 225 condition state 3: 0 units | NBE-AL012757-2023-225-cs4: NBE 2023 element 225 condition state 4: 0 units | NBE-AL012757-2023-234-cs1: NBE 2023 element 234 condition state 1: 152 units | NBE-AL012757-2023-234-cs2: NBE 2023 element 234 condition state 2: 0 units | NBE-AL012757-2023-234-cs3: NBE 2023 element 234 condition state 3: 0 units | NBE-AL012757-2023-234-cs4: NBE 2023 element 234 condition state 4: 0 units | NBI-AL012757-2023-deck: NBI 2023 deck condition rating: 7 | NBI-AL012757-2023-substructure: NBI 2023 substructure condition rating: 7 | NBI-AL012757-2023-superstructure: NBI 2023 superstructure condition rating: 6,,,
BRIEF-AL012757-2023-v1-s7,BRIEF-AL012757-2023-v1,AL012757,2023,evidence_gaps,,,"No inspection photographs have been supplied for this structure, so no image evidence contributes to this brief. [NBE-AL012757-2023-109-cs1] [NBE-AL012757-2023-109-cs2] [NBE-AL012757-2023-109-cs3]",NBE-AL012757-2023-109-cs1 NBE-AL012757-2023-109-cs2 NBE-AL012757-2023-109-cs3,NBE-AL012757-2023-109-cs1: NBE 2023 element 109 condition state 1: 1020 units | NBE-AL012757-2023-109-cs2: NBE 2023 element 109 condition state 2: 0 units | NBE-AL012757-2023-109-cs3: NBE 2023 element 109 condition state 3: 0 units,,,
BRIEF-AL012757-2023-v1-s5,BRIEF-AL012757-2023-v1,AL012757,2023,contradictions,conflicting,0.9000,"The 2023 NBI record rates the substructure 7 (good), while the 2023 NBE element data reports 24 units of 286 units (8.4% of the mapped quantity) in condition states 3-4, which corresponds to a fair component. [NBE-AL012757-2023-215-cs3] [NBI-AL012757-2023-substructure]",NBE-AL012757-2023-215-cs3 NBI-AL012757-2023-substructure,NBE-AL012757-2023-215-cs3: NBE 2023 element 215 condition state 3: 24 units | NBI-AL012757-2023-substructure: NBI 2023 substructure condition rating: 7,,,
BRIEF-AL012757-2023-v1-s6,BRIEF-AL012757-2023-v1,AL012757,2023,contradictions,conflicting,0.9000,"This comparison rolls up AASHTO element(s) 215, 225, 234 into the substructure. [NBE-AL012757-2023-215-cs1] [NBE-AL012757-2023-215-cs2] [NBE-AL012757-2023-215-cs3] [NBE-AL012757-2023-215-cs4] [NBE-AL012757-2023-225-cs1] [NBE-AL012757-2023-225-cs2] [NBE-AL012757-2023-225-cs3] [NBE-AL012757-2023-225-cs4] [NBE-AL012757-2023-234-cs1] [NBE-AL012757-2023-234-cs2] [NBE-AL012757-2023-234-cs3] [NBE-AL012757-2023-234-cs4] [NBI-AL012757-2023-substructure]",NBE-AL012757-2023-215-cs1 NBE-AL012757-2023-215-cs2 NBE-AL012757-2023-215-cs3 NBE-AL012757-2023-215-cs4 NBE-AL012757-2023-225-cs1 NBE-AL012757-2023-225-cs2 NBE-AL012757-2023-225-cs3 NBE-AL012757-2023-225-cs4 NBE-AL012757-2023-234-cs1 NBE-AL012757-2023-234-cs2 NBE-AL012757-2023-234-cs3 NBE-AL012757-2023-234-cs4 NBI-AL012757-2023-substructure,NBE-AL012757-2023-215-cs1: NBE 2023 element 215 condition state 1: 37 units | NBE-AL012757-2023-215-cs2: NBE 2023 element 215 condition state 2: 49 units | NBE-AL012757-2023-215-cs3: NBE 2023 element 215 condition state 3: 24 units | NBE-AL012757-2023-215-cs4: NBE 2023 element 215 condition state 4: 0 units | NBE-AL012757-2023-225-cs1: NBE 2023 element 225 condition state 1: 24 units | NBE-AL012757-2023-225-cs2: NBE 2023 element 225 condition state 2: 0 units | NBE-AL012757-2023-225-cs3: NBE 2023 element 225 condition state 3: 0 units | NBE-AL012757-2023-225-cs4: NBE 2023 element 225 condition state 4: 0 units | NBE-AL012757-2023-234-cs1: NBE 2023 element 234 condition state 1: 152 units | NBE-AL012757-2023-234-cs2: NBE 2023 element 234 condition state 2: 0 units | NBE-AL012757-2023-234-cs3: NBE 2023 element 234 condition state 3: 0 units | NBE-AL012757-2023-234-cs4: NBE 2023 element 234 condition state 4: 0 units | NBI-AL012757-2023-substructure: NBI 2023 substructure condition rating: 7,,,
BRIEF-AL012757-2023-v1-s4,BRIEF-AL012757-2023-v1,AL012757,2023,contradictions,conflicting,0.9000,This comparison rolls up AASHTO element(s) 109 into the superstructure. [NBE-AL012757-2023-109-cs1] [NBE-AL012757-2023-109-cs2] [NBE-AL012757-2023-109-cs3] [NBE-AL012757-2023-109-cs4] [NBI-AL012757-2023-superstructure],NBE-AL012757-2023-109-cs1 NBE-AL012757-2023-109-cs2 NBE-AL012757-2023-109-cs3 NBE-AL012757-2023-109-cs4 NBI-AL012757-2023-superstructure,NBE-AL012757-2023-109-cs1: NBE 2023 element 109 condition state 1: 1020 units | NBE-AL012757-2023-109-cs2: NBE 2023 element 109 condition state 2: 0 units | NBE-AL012757-2023-109-cs3: NBE 2023 element 109 condition state 3: 0 units | NBE-AL012757-2023-109-cs4: NBE 2023 element 109 condition state 4: 0 units | NBI-AL012757-2023-superstructure: NBI 2023 superstructure condition rating: 6,,,
BRIEF-AL012757-2023-v1-s3,BRIEF-AL012757-2023-v1,AL012757,2023,contradictions,conflicting,0.9000,"The 2023 NBI record rates the superstructure 6 (fair), while the 2023 NBE element data reports only 0 units of 1,020 units in condition states 3-4, which corresponds to a good component. [NBE-AL012757-2023-109-cs1] [NBE-AL012757-2023-109-cs2] [NBE-AL012757-2023-109-cs3] [NBE-AL012757-2023-109-cs4] [NBI-AL012757-2023-superstructure]",NBE-AL012757-2023-109-cs1 NBE-AL012757-2023-109-cs2 NBE-AL012757-2023-109-cs3 NBE-AL012757-2023-109-cs4 NBI-AL012757-2023-superstructure,NBE-AL012757-2023-109-cs1: NBE 2023 element 109 condition state 1: 1020 units | NBE-AL012757-2023-109-cs2: NBE 2023 element 109 condition state 2: 0 units | NBE-AL012757-2023-109-cs3: NBE 2023 element 109 condition state 3: 0 units | NBE-AL012757-2023-109-cs4: NBE 2023 element 109 condition state 4: 0 units | NBI-AL012757-2023-superstructure: NBI 2023 superstructure condition rating: 6,,,
